S/N,Project Name,Street Name,Type,Postal District,Market Segment,Tenure,Type of Sale,No. of Units,Price,Nett Price ($),Area in Sqft,Type of Area,Floor Level,Unit Price in dollar psf,Date of Sale
146,BRADDELL VIEW,BRADDELL HILL,Apartment,20,RCR,99 yrs lease commencing from 1978,Resale,1,1208000,-,1615,Strata,06 to 10,748,Sep-15
147,MELVILLE PARK,SIMEI STREET 1,Condominium,18,OCR,99 yrs lease commencing from 1992,Resale,1,760000,-,990,Strata,06 to 10,767,Sep-15
148,VUE 8 RESIDENCE,PASIR RIS HEIGHTS,Condominium,18,OCR,99 years leasehold,New Sale,1,1070000,-,1044,Strata,11 to 15,1025,Sep-15
149,RIS GRANDEUR,ELIAS ROAD,Condominium,18,OCR,Freehold,Resale,1,1350000,-,1539,Strata,06 to 10,877,Sep-15
150,EASTPOINT GREEN,SIMEI STREET 3,Condominium,18,OCR,99 yrs lease commencing from 1996,Resale,1,920000,-,1173,Strata,06 to 10,784,Sep-15
151,SEASONS VIEW,PEMIMPIN DRIVE,Condominium,20,RCR,99 yrs lease commencing from 1996,Resale,1,1078000,-,1141,Strata,11 to 15,945,Sep-15
152,RAFFLESIA CONDOMINIUM,BISHAN STREET 21,Condominium,20,RCR,99 yrs lease commencing from 1997,Resale,1,1200000,-,1195,Strata,11 to 15,1004,Sep-15
153,SPACE @ KOVAN,YIO CHU KANG ROAD,Apartment,19,OCR,Freehold,Sub Sale,1,604000,-,431,Strata,01 to 05,1403,Sep-15
154,KINGSFORD WATERBAY,UPPER SERANGOON VIEW,Apartment,19,OCR,99 yrs lease commencing from 2014,New Sale,1,538000,-,484,Strata,01 to 05,1111,Sep-15
155,BOTANIQUE AT BARTLEY,UPPER PAYA LEBAR ROAD,Condominium,19,OCR,99 years leasehold,New Sale,1,1351000,-,1033,Strata,01 to 05,1307,Sep-15
156,TERRASSE,TERRASSE LANE,Condominium,19,OCR,99 yrs lease commencing from 2010,Resale,1,960000,-,732,Strata,01 to 05,1312,Sep-15
157,SAVANNAH CONDOPARK,SIMEI RISE,Condominium,18,OCR,99 yrs lease commencing from 2000,Resale,1,1245000,-,1453,Strata,01 to 05,857,Sep-15
158,WATERFRONT ISLE,BEDOK RESERVOIR ROAD,Condominium,16,OCR,99 yrs lease commencing from 2009,Sub Sale,1,718000,-,592,Strata,01 to 05,1213,Sep-15
159,TANGERINE GROVE,PAYA LEBAR CRESCENT,Condominium,19,OCR,Freehold,Resale,1,1450000,-,1216,Strata,01 to 05,1192,Sep-15
160,THE CREEK @ BUKIT,TOH TUCK ROAD,Condominium,21,RCR,Freehold,New Sale,1,1262688,-,743,Strata,01 to 05,1700,Sep-15
161,THE CREEK @ BUKIT,TOH TUCK ROAD,Condominium,21,RCR,Freehold,New Sale,1,1590000,-,969,Strata,01 to 05,1641,Sep-15
162,THE MADEIRA,BUKIT BATOK STREET 31,Condominium,23,OCR,99 yrs lease commencing from 2000,Resale,1,1200000,-,1389,Strata,21 to 25,864,Sep-15
163,HILLION RESIDENCES,JELEBU ROAD,Apartment,23,OCR,99 years leasehold,New Sale,1,641700,-,474,Strata,06 to 10,1355,Sep-15
164,THE SKYWOODS,DAIRY FARM HEIGHTS,Condominium,23,OCR,99 years leasehold,New Sale,1,1203500,-,990,Strata,06 to 10,1215,Sep-15
165,MAYSPRINGS,PETIR ROAD,Apartment,23,OCR,99 yrs lease commencing from 1994,Resale,1,1200000,-,1787,Strata,16 to 20,672,Sep-15
166,THE SKYWOODS,DAIRY FARM HEIGHTS,Condominium,23,OCR,99 years leasehold,New Sale,1,1170000,-,990,Strata,06 to 10,1181,Sep-15
167,THE SKYWOODS,DAIRY FARM HEIGHTS,Condominium,23,OCR,99 years leasehold,New Sale,1,1529500,-,1292,Strata,11 to 15,1184,Sep-15
168,THE SKYWOODS,DAIRY FARM HEIGHTS,Condominium,23,OCR,99 years leasehold,New Sale,1,1116156,-,947,Strata,06 to 10,1178,Sep-15
169,PARC VISTA,CORPORATION ROAD,Condominium,22,OCR,99 yrs lease commencing from 1995,Resale,1,1068000,-,1270,Strata,06 to 10,841,Sep-15
170,HUME PARK II,HUME AVENUE,Condominium,21,OCR,Freehold,Resale,1,1290000,-,1249,Strata,06 to 10,1033,Sep-15
171,THE CENTRIS,JURONG WEST CENTRAL 3,Apartment,22,OCR,99 yrs lease commencing from 2006,Resale,1,1430000,-,1292,Strata,11 to 15,1107,Sep-15
172,MAYSPRINGS,PETIR ROAD,Apartment,23,OCR,99 yrs lease commencing from 1994,Resale,1,895000,-,1324,Strata,01 to 05,676,Sep-15
173,THE DAIRY FARM,DAIRY FARM ROAD,Condominium,23,OCR,Freehold,Resale,1,2200000,-,2142,Strata,01 to 05,1027,Sep-15
174,LAKEVILLE,JURONG LAKE LINK,Condominium,22,OCR,99 years leasehold,New Sale,1,1306968,1298968,1141,Strata,01 to 05,1138,Sep-15
175,MEADOWS @ PEIRCE,UPPER THOMSON ROAD,Condominium,26,OCR,Freehold,Resale,1,820000,-,635,Strata,01 to 05,1291,Sep-15
176,ECO SANCTUARY,CHESTNUT AVENUE,Condominium,23,OCR,99 years leasehold,New Sale,1,1811620,-,1367,Strata,16 to 20,1325,Sep-15
177,HILLION RESIDENCES,JELEBU ROAD,Apartment,23,OCR,99 years leasehold,New Sale,1,666120,-,474,Strata,11 to 15,1406,Sep-15
178,HIGH PARK RESIDENCES,FERNVALE ROAD,Apartment,28,OCR,99 years leasehold,New Sale,1,697000,-,581,Strata,21 to 25,1199,Sep-15
179,HIGH PARK RESIDENCES,FERNVALE ROAD,Apartment,28,OCR,99 years leasehold,New Sale,1,786000,-,710,Strata,16 to 20,1106,Sep-15
180,HIGH PARK RESIDENCES,FERNVALE ROAD,Apartment,28,OCR,99 years leasehold,New Sale,1,935000,-,1109,Strata,21 to 25,843,Sep-15
181,NORTH PARK RESIDENCES,YISHUN CENTRAL 1,Apartment,27,OCR,99 years leasehold,New Sale,1,1107000,-,829,Strata,06 to 10,1336,Sep-15
182,HIGH PARK RESIDENCES,FERNVALE ROAD,Apartment,28,OCR,99 years leasehold,New Sale,1,834000,-,872,Strata,11 to 15,957,Sep-15
183,HIGH PARK RESIDENCES,FERNVALE ROAD,Apartment,28,OCR,99 years leasehold,New Sale,1,845000,-,936,Strata,21 to 25,902,Sep-15
184,HIGH PARK RESIDENCES,FERNVALE ROAD,Apartment,28,OCR,99 years leasehold,New Sale,1,727000,-,667,Strata,11 to 15,1089,Sep-15
185,SYMPHONY SUITES,YISHUN CLOSE,Condominium,27,OCR,99 years leasehold,New Sale,1,820000,-,797,Strata,01 to 05,1029,Sep-15
186,HIGH PARK RESIDENCES,FERNVALE ROAD,Apartment,28,OCR,99 years leasehold,New Sale,1,823000,-,872,Strata,21 to 25,944,Sep-15
187,RIVERBANK @ FERNVALE,FERNVALE CLOSE,Condominium,28,OCR,99 years leasehold,New Sale,1,1128000,-,1044,Strata,11 to 15,1080,Sep-15
188,NORTH PARK RESIDENCES,YISHUN CENTRAL 1,Apartment,27,OCR,99 years leasehold,New Sale,1,1514780,-,1206,Strata,06 to 10,1256,Sep-15
189,NORTH PARK RESIDENCES,YISHUN CENTRAL 1,Apartment,27,OCR,99 years leasehold,New Sale,1,1502320,-,1206,Strata,01 to 05,1246,Sep-15
